id,type,language,icon,title,description,prompt,aspectRatio,slideCount,amount,audience,scenario,theme,status
40000000-0000-4000-8000-000000000011,1,5,conference,Workshop de treinamento de equipe,"Conteúdo estruturado em módulos, com exercícios práticos","Crie um workshop de treinamento de equipe, estruturado em módulos progressivos, com conceitos teóricos e exercícios práticos em cada um",0,12,3,1,2,4,0
40000000-0000-4000-8000-000000000012,1,5,workflow,Kickoff de projeto,"Escopo, prazos, responsáveis e próximos passos alinhados","Crie uma apresentação de kickoff de projeto, alinhando escopo, cronograma, responsáveis por cada frente e os próximos passos imediatos",0,8,2,1,0,3,0
40000000-0000-4000-8000-000000000013,1,5,statistics,Revisão financeira anual,"Receita, custos e projeções pro conselho e investidores","Crie uma revisão financeira anual com receita, custos, margem e projeções pro próximo ano, voltada pro conselho e investidores",0,12,3,2,4,1,0
40000000-0000-4000-8000-000000000014,1,5,recruitment,Processo seletivo e recrutamento,"Etapas do processo, perfil buscado e cronograma de contratação","Crie uma apresentação sobre o processo seletivo de uma vaga, cobrindo etapas, perfil de candidato buscado e cronograma de contratação",0,8,2,1,0,5,0
40000000-0000-4000-8000-000000000015,1,5,calendar,Planejamento de evento corporativo,"Cronograma, logística e responsáveis por cada etapa do evento","Crie um planejamento de evento corporativo, com cronograma, logística, responsáveis por cada etapa e checklist de preparação",0,8,2,0,0,6,0
40000000-0000-4000-8000-000000000016,1,5,survey,Resumo de pesquisa de mercado,"Metodologia, principais achados e recomendações","Crie um resumo de pesquisa de mercado, apresentando metodologia usada, principais achados e recomendações práticas baseadas nos dados",0,10,3,1,3,9,0
40000000-0000-4000-8000-000000000017,0,5,flowchart,Fluxograma de processo,"Etapas, decisões e responsáveis de um processo, em um diagrama só","Crie um fluxograma de um processo, mostrando as etapas, pontos de decisão e responsáveis por cada uma",0,1,0,0,3,0,0
40000000-0000-4000-8000-000000000018,0,5,architecture,Diagrama de arquitetura de sistema,"Componentes, integrações e fluxo de dados de um sistema","Crie um diagrama de arquitetura de sistema, mostrando os principais componentes, como eles se integram e o fluxo de dados entre eles",0,1,0,0,3,4,0
40000000-0000-4000-8000-000000000019,0,5,orgchart,Organograma da empresa,"Hierarquia de times e responsabilidades, em um diagrama só","Crie um organograma da empresa, mostrando a hierarquia entre times, líderes e responsabilidades de cada área",0,1,0,1,4,3,0
40000000-0000-4000-8000-000000000020,0,5,mindmap,Mapa mental de brainstorming,"Ideias organizadas visualmente a partir de um tema central","Crie um mapa mental de brainstorming sobre um tema, organizando ideias relacionadas ao redor de um conceito central",3,1,0,0,0,5,0
40000000-0000-4000-8000-000000000021,0,5,timeline,Linha do tempo de projeto,"Marcos e prazos principais de um projeto, em um diagrama só","Crie uma linha do tempo de projeto, destacando os marcos principais e prazos de cada fase",0,1,0,1,4,7,0
40000000-0000-4000-8000-000000000022,0,5,sales,Funil de vendas,"Etapas do funil e taxas de conversão, em um diagrama só","Crie um diagrama de funil de vendas, mostrando as etapas do processo comercial e as taxas de conversão entre elas",0,1,0,1,3,6,0
40000000-0000-4000-8000-000000000023,0,5,journey,Mapa da jornada do cliente,"Pontos de contato e experiência do cliente, em um diagrama só","Crie um mapa da jornada do cliente, mostrando os pontos de contato principais e a experiência em cada etapa",0,1,0,1,3,8,0
40000000-0000-4000-8000-000000000024,0,5,decision,Matriz de priorização de tarefas,"Tarefas organizadas por impacto e esforço, em um diagrama só","Crie uma matriz de priorização de tarefas, organizando itens por impacto e esforço pra facilitar a decisão do que fazer primeiro",0,1,0,1,3,1,0
